Station Name: MALIN HEAD
Station Height: 20 M 
Latitude:55.372  ,Longitude: -7.339


date:  -  Date and Time (utc)
ind:   -  irainfall   Rainfall indicator
rain:  -  Precipitation Amount (mm)  
ind:   -  ittt Dry bulb indicator
temp:  -  Air Temperature (C)
ind:   -  iwb Wet bulb indicator
wetb:  -  Wet Bulb Temperature (C)
dewpt: -  Dew Point Temperature (C)             
rhum:  -  Relative Humidity (%)
vappr: -  Vapour Pressure (hPa) 
msl:   -  Mean Sea Level Pressure (hPa)
ind:   -  itabspeed wind Speed indicator
wdsp:  -  Mean Wind Speed (knot)
ind:   -  itabdir  wind dir indicator
wddir: -  Predominant Wind Direction (degree)
ww:    -  Synop code for Present Weather
w:     -  Synop code for Past Weather
sun:   -  Sunshine duration (hours)
vis:   -  Visibility (m)
clht:  -  Cloud height (100's of ft) - 999 if none 
clamt: -  Cloud amount


Code  irainfall                    ittt              iwb                    itabspeed / itabdir
----  -------------------------    --------------    ---------------------  -------------------------
0     satisfactory                 positive          positive               -
1     deposition                   negative          negative               10 min
2     trace / sum of traces        est. positive     est. positive          60 min
3     trace / sum of traces (dep.) est. negative     est. negative          10 min + defective
4     estimated precipitation      not available     not available          60 min + defective
5     estimated deposition         -                 frozen negative        10 min + partially defective
6     estimated precip. trace      -                 frozen positive        60 min + partially defective
7     estimated deposition trace   -                 est. frozen negative   not available
8     not available                -                 est. frozen positive   -
111   investigation required       investigation required                   investigation required

date,ind,rain,ind,temp,ind,wetb,dewpt,vappr,rhum,msl,ind,wdsp,ind,wddir,ww,w,sun,vis,clht,clamt
21-nov-2024 00:00,0,0.0,0,3.9,0,2.6,0.5,6.3,78,1008.2,2,8,2,200, , , , , , 
21-nov-2024 01:00,0,0.0,0,2.8,0,1.5,-0.7,5.8,78,1007.0,2,10,2,360, , , , , , 
21-nov-2024 02:00,0,1.2,0,2.9,0,1.7,-0.4,5.9,78,1006.6,2,16,2,20, , , , , , 
21-nov-2024 03:00,0,0.2,0,3.7,0,2.0,-0.9,5.7,71,1006.0,2,8,2,360, , , , , , 
21-nov-2024 04:00,0,0.0,0,1.9,0,1.0,-0.5,5.9,84,1005.5,2,7,2,330, , , , , , 
21-nov-2024 05:00,0,0.0,0,3.6,0,1.5,-2.6,5.1,63,1004.8,2,5,2,10, , , , , , 
21-nov-2024 06:00,0,0.0,0,3.8,0,1.3,-3.5,4.7,58,1004.2,2,8,2,330, , , , , , 
21-nov-2024 07:00,0,0.0,0,4.6,0,2.0,-3.0,4.9,57,1003.5,2,12,2,300, , , , , , 
21-nov-2024 08:00,0,0.0,0,5.3,0,2.5,-2.4,5.1,57,1003.1,2,17,2,310, , , , , , 
21-nov-2024 09:00,0,0.0,0,5.1,0,2.6,-1.8,5.4,61,1002.6,2,20,2,330, , , , , , 
21-nov-2024 10:00,0,0.2,0,4.3,0,2.8,0.3,6.3,75,1002.6,2,22,2,330, , , , , , 
21-nov-2024 11:00,0,0.2,0,4.7,0,2.5,-1.4,5.5,64,1001.8,2,23,2,310, , , , , , 
21-nov-2024 12:00,0,0.2,0,6.7,0,4.2,0.5,6.3,64,1000.8,2,26,2,320, , , , , , 
