Building_id,Building_name,X_Latitude,Y_Longitude,RoofArea,Demand,Max,Median,Noon
1,Agnes McGuire Social Work Building,53.30406606,-6.222581316,579.58,8.56364507,31.90999937,6.112499833,13.73122237
2,UCD Agriculture and Food Science Centre,53.30728046,-6.224505245,2279.41,121.7567966,260.9024887,106.7412472,158.599491
3,Ardmore Annexe,53.30778007,-6.220156174,429.18,8.213315505,42.59999847,5.21999991,14.32886581
4,Ardmore House,53.30750776,-6.220524539,389.76,3.747961834,9.78249979,2.969999969,4.99588103
5,Ashfield Residences,53.30422796,-6.221929716,1722.44,53.19237795,169.9799948,43.95374888,50.11749873
6,Annex Newstead,53.31008517,-6.235189581,159.62,59.02871652,158.5224991,42.19124937,90.0450799
7,Belfield Office Park,53.31207155,-6.233865603,899.28,8.11588238,19.4574995,10.12874973,7.813066753
8,Belgrove Student Residences,53.30469663,-6.223666693,3453.45,8.56364507,31.90999937,6.112499833,13.73122237
9,Bicycle Shop,53.30691644,-6.216666398,199.51,0.58565914,2.987499893,0.60499999,0.640874303
10,UCD Bowl,53.3104548,-6.227905601,508.93,52.17685818,114.6474991,42.95499897,72.29716369
11,Campus Services,53.30719033,-6.224079548,274.98,121.7567966,260.9024887,106.7412472,158.599491
12,UCD Centre for Molecular Innovation and Drug Discovery,53.30772555,-6.22430549,371.2,72.88348198,101.3174973,69.82624817,80.96648723
13,Centre for Experimental Pathogen Host Research (CEPHR),53.30833456,-6.220163405,698.28,8.213315505,42.59999847,5.21999991,14.32886581
14,Centre for Synthesis and Chemical Biology (CSCB),53.30789928,-6.223348171,494.87,72.88348198,101.3174973,69.82624817,80.96648723
15,Charles Institute,53.31017115,-6.225696802,263.48,169.0509573,376.9524918,129.3174963,247.7649739
16,UCD Clinton Centre for American Studies(Belfield House),53.30649841,-6.215855968,2182.76,2.013387932,14.18249941,0.64499998,4.055218486
17,UCD Computer Centre,53.30949523,-6.224764854,483.43,60.61245453,88.57499886,59.10749818,62.37217759
18,UCD Computer Science and Informatics Centre,53.30925206,-6.224047243,592.8,60.61245453,88.57499886,59.10749818,62.37217759
19,UCD Conway Institute,53.3102032,-6.224732548,959.82,169.0509573,376.9524918,129.3174963,247.7649739
20,Crannóg House,53.2998661,-6.221528403,287.4,10.58063498,38.33250142,9.485000253,13.1117084
21,Daedalus Building,53.30638388,-6.22018796,296.17,124.0275598,146.6099968,123.2487478,124.3301678
22,Energy Centre,53.30879517,-6.23251189,243.97,244.5149845,1191.55249,0,418.0082079
23,UCD Engineering & Materials Science Centre,53.30646228,-6.21845942,685.58,125.3882022,251.6549951,109.6524965,161.5267451
24,Environmental Protection Agency,53.31189333,-6.235865921,269.3,26.72130006,83.91249656,20.11624956,39.18088706
25,UCD Geary Institute (Arts Annexe),53.30382569,-6.222584099,714.84,8.56364507,31.90999937,6.112499833,13.73122237
26,Gerard Manley Hopkins Centre(UCD International Office),53.30514342,-6.220752135,1070.41,49.87870022,182.3249969,28.29874945,85.72413744
27,Glebe House,53.30032566,-6.222248916,205,10.58063498,38.33250142,9.485000253,13.1117084
28,Glenomena Student Residences,53.30401385,-6.215364483,2961.78,2.013387932,14.18249941,0.64499998,4.055218486
29,Hanna Sheehy-Skeffington Building,53.30420501,-6.222967098,207.62,8.56364507,31.90999937,6.112499833,13.73122237
30,Health Sciences Centre,53.30925505,-6.225874779,532.41,169.0509573,376.9524918,129.3174963,247.7649739
31,UCD Humanities Institute Ireland,53.303845,-6.223243358,238.58,8.56364507,31.90999937,6.112499833,13.73122237
32,Leinster Rugby,53.309239,-6.234213257,203.19,59.02871652,158.5224991,42.19124937,90.0450799
33,Irish Institute for Chinese Studies(UCD Confucious Institute),53.30594989,-6.217889155,371.89,16.41770182,58.78586673,12.10439432,28.25804723
34,UCD James Joyce Library,53.30675703,-6.223156312,1732.53,138.1769125,276.1333313,132.8691711,200.9436233
35,UCD John Hume Institute for Global Irish Studies(William Jefferson Clinton Auditorium),53.30673053,-6.217426878,395.49,127.4015901,254.717495,110.2087479,165.5819636
